,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,credit_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total Wealth,social_class,loan_type,credit_rating,loan_term_type
39,3,Not Graduate,Yes,1500000,5100000,6,352,100000,200000,5600000,900000,Rejected,8300000,Low Class,Silver,Very Poor,Intermedate Term
40,1,Graduate,No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Approved,58300000,High Middle Class,Gold,Good,Short Term
41,2,Not Graduate,No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Approved,79700000,High Class,Platinum,Excellent,Long Term
42,3,Graduate,No,1400000,3400000,6,540,200000,1500000,3900000,800000,Rejected,7800000,Low Class,Bronze,Poor,Intermedate Term
43,2,Graduate,Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,Rejected,6900000,Low Class,Bronze,Very Poor,Long Term
44,5,Graduate,No,6500000,13400000,18,787,18200000,300000,16200000,5400000,Approved,46600000,High Middle Class,Silver,Excellent,Long Term
45,4,Graduate,No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Rejected,59600000,High Class,Platinum,Very Poor,Long Term
46,3,Not Graduate,Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Approved,27100000,Low Middle Class,Gold,Good,Intermedate Term
47,1,Graduate,Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Approved,43600000,High Middle Class,Gold,Good,Long Term
48,3,Not Graduate,No,5500000,20500000,12,634,800000,8600000,18500000,8200000,Approved,41600000,High Middle Class,Gold,Fair,Long Term
49,1,Not Graduate,Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,Approved,69500000,High Class,Gold,Good,Long Term
50,4,Graduate,No,7300000,25400000,16,502,500000,1800000,20500000,10500000,Rejected,40600000,High Middle Class,Platinum,Poor,Long Term
51,2,Graduate,No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Rejected,52100000,High Middle Class,Platinum,Very Poor,Long Term
52,5,Not Graduate,No,3800000,7600000,4,689,8700000,100000,9300000,3400000,Approved,25300000,Low Middle Class,Silver,Good,Intermedate Term
53,1,Not Graduate,Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Approved,78700000,High Class,Gold,Fair,Long Term
54,2,Graduate,Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Approved,44600000,High Middle Class,Gold,Poor,Long Term
55,5,Not Graduate,No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Approved,36000000,Low Middle Class,Platinum,Excellent,Long Term
56,2,Not Graduate,No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Rejected,22400000,Low Middle Class,Silver,Very Poor,Long Term
57,5,Graduate,Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Approved,82200000,High Class,Platinum,Excellent,Long Term
58,1,Graduate,No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Rejected,56600000,High Middle Class,Gold,Very Poor,Long Term
59,4,Not Graduate,Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,Approved,33700000,Low Middle Class,Gold,Excellent,Long Term
60,2,Not Graduate,No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Rejected,85900000,High Class,Gold,Very Poor,Long Term
61,3,Not Graduate,Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Approved,52000000,High Middle Class,Platinum,Good,Long Term
62,5,Not Graduate,Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Rejected,73900000,High Class,Platinum,Very Poor,Intermedate Term
63,3,Not Graduate,Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Approved,23900000,Low Middle Class,Silver,Poor,Long Term
64,4,Graduate,Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Approved,34300000,Low Middle Class,Silver,Excellent,Long Term
65,1,Graduate,No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Rejected,37400000,High Middle Class,Silver,Very Poor,Long Term
66,3,Not Graduate,No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Approved,62300000,High Class,Platinum,Good,Long Term
67,0,Not Graduate,Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected,11900000,Low Middle Class,Silver,Good,Long Term
68,4,Graduate,No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Approved,31500000,Low Middle Class,Silver,Good,Intermedate Term
69,0,Graduate,No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Rejected,16000000,Low Middle Class,Silver,Very Poor,Long Term
70,4,Not Graduate,Yes,500000,1500000,20,340,100000,200000,1900000,600000,Rejected,3300000,Low Class,Bronze,Very Poor,Long Term
71,5,Graduate,Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Approved,33800000,Low Middle Class,Gold,Very Poor,Intermedate Term
72,5,Not Graduate,No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Rejected,66200000,High Class,Gold,Very Poor,Intermedate Term
73,3,Not Graduate,Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Approved,37300000,High Middle Class,Gold,Good,Long Term
74,2,Not Graduate,No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Rejected,20500000,Low Middle Class,Silver,Very Poor,Intermedate Term
75,2,Not Graduate,No,1900000,6500000,18,671,600000,2500000,4800000,1100000,Approved,10900000,Low Class,Silver,Good,Long Term
76,4,Graduate,No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Approved,47000000,High Middle Class,Gold,Good,Long Term
77,0,Graduate,No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Approved,76000000,High Class,Platinum,Excellent,Long Term
78,2,Not Graduate,No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Approved,65900000,High Class,Platinum,Poor,Long Term
79,0,Not Graduate,No,700000,1400000,14,639,1900000,700000,2400000,900000,Approved,6600000,Low Class,Bronze,Fair,Long Term
80,4,Graduate,No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected,21300000,Low Middle Class,Silver,Very Poor,Intermedate Term
81,0,Not Graduate,No,8800000,31200000,4,826,2900000,500000,33300000,8600000,Approved,54100000,High Middle Class,Platinum,Excellent,Intermedate Term
82,2,Not Graduate,Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Rejected,80200000,High Class,Gold,Very Poor,Long Term
83,3,Graduate,No,3600000,8600000,20,613,9400000,300000,10300000,3300000,Approved,26900000,Low Middle Class,Silver,Fair,Long Term
84,3,Not Graduate,Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Approved,28500000,Low Middle Class,Silver,Good,Long Term
85,2,Graduate,No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Rejected,55500000,High Middle Class,Gold,Very Poor,Long Term
86,5,Not Graduate,Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Rejected,9000000,Low Class,Bronze,Very Poor,Long Term
87,1,Not Graduate,Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Rejected,80800000,High Class,Platinum,Very Poor,Long Term
88,4,Graduate,Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved,16500000,Low Middle Class,Silver,Excellent,Intermedate Term
89,2,Not Graduate,No,9800000,37600000,10,641,24100000,0,23400000,7600000,Approved,64900000,High Class,Platinum,Fair,Long Term
90,4,Graduate,No,5700000,21100000,18,489,500000,4300000,12500000,6000000,Rejected,29000000,Low Middle Class,Gold,Very Poor,Long Term
91,4,Graduate,No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Rejected,66300000,High Class,Gold,Poor,Long Term
92,4,Graduate,No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Approved,34200000,Low Middle Class,Silver,Excellent,Intermedate Term
93,1,Graduate,No,1700000,6400000,10,452,900000,1100000,5600000,2100000,Rejected,11400000,Low Class,Silver,Very Poor,Long Term
94,2,Graduate,No,1000000,2000000,10,366,1200000,400000,3200000,1300000,Rejected,7100000,Low Class,Bronze,Very Poor,Long Term
95,5,Graduate,No,300000,1100000,2,300,100000,500000,700000,400000,Approved,2000000,Low Class,Bronze,Very Poor,Short Term
96,2,Graduate,Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Rejected,37800000,High Middle Class,Gold,Very Poor,Long Term
97,2,Not Graduate,No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Approved,62400000,High Class,Platinum,Excellent,Long Term
98,4,Graduate,No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Approved,94000000,High Class,Platinum,Poor,Long Term
99,0,Graduate,No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Rejected,30100000,Low Middle Class,Silver,Very Poor,Long Term
100,4,Not Graduate,No,400000,900000,12,478,700000,100000,1200000,100000,Rejected,2500000,Low Class,Bronze,Very Poor,Long Term
101,2,Not Graduate,Yes,300000,1100000,2,702,300000,200000,500000,200000,Approved,1500000,Low Class,Bronze,Good,Short Term
102,2,Not Graduate,Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved,33100000,Low Middle Class,Silver,Fair,Long Term
103,4,Graduate,No,1600000,4500000,12,633,700000,1700000,4100000,1900000,Approved,10000000,Low Class,Bronze,Fair,Long Term
104,5,Not Graduate,Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Rejected,67500000,High Class,Platinum,Very Poor,Long Term
105,3,Not Graduate,Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,Approved,34100000,Low Middle Class,Silver,Excellent,Long Term
106,4,Not Graduate,Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,Approved,58500000,High Middle Class,Gold,Good,Long Term
107,0,Graduate,No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Approved,18400000,Low Middle Class,Silver,Poor,Intermedate Term
108,1,Graduate,Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved,68200000,High Class,Platinum,Good,Short Term
109,2,Graduate,No,3300000,6800000,14,317,3400000,300000,11700000,3600000,Rejected,22300000,Low Middle Class,Silver,Very Poor,Long Term
110,0,Not Graduate,No,300000,1100000,8,778,800000,200000,900000,100000,Approved,2300000,Low Class,Bronze,Good,Long Term
111,3,Graduate,Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Rejected,39000000,High Middle Class,Gold,Very Poor,Long Term
112,5,Not Graduate,No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Rejected,55100000,High Middle Class,Gold,Poor,Long Term
113,5,Not Graduate,Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Approved,66500000,High Class,Gold,Excellent,Long Term
114,1,Not Graduate,No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Rejected,71100000,High Class,Gold,Very Poor,Long Term
115,0,Not Graduate,Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,Approved,20900000,Low Middle Class,Silver,Excellent,Long Term
116,4,Not Graduate,Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Rejected,56200000,High Middle Class,Gold,Very Poor,Long Term
117,0,Not Graduate,No,600000,1600000,6,647,1500000,600000,1500000,700000,Approved,4900000,Low Class,Bronze,Fair,Intermedate Term
118,0,Not Graduate,No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Rejected,57200000,High Middle Class,Gold,Very Poor,Long Term
119,1,Not Graduate,Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Approved,42800000,High Middle Class,Platinum,Good,Short Term
120,5,Graduate,No,900000,2300000,16,545,100000,200000,2700000,800000,Rejected,4700000,Low Class,Bronze,Poor,Long Term
121,2,Graduate,No,800000,3200000,8,317,300000,1000000,2000000,900000,Rejected,5000000,Low Class,Bronze,Very Poor,Long Term
122,1,Not Graduate,No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Approved,45800000,High Middle Class,Platinum,Poor,Long Term
123,0,Not Graduate,Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,Approved,68000000,High Class,Gold,Excellent,Long Term
124,3,Graduate,No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Approved,57900000,High Middle Class,Gold,Good,Long Term
125,3,Graduate,No,200000,600000,16,821,400000,100000,500000,100000,Approved,1300000,Low Class,Bronze,Excellent,Long Term
126,4,Not Graduate,Yes,400000,800000,10,859,900000,500000,800000,200000,Approved,2800000,Low Class,Bronze,Excellent,Long Term
127,3,Not Graduate,No,5100000,18200000,10,395,100000,8000000,15500000,6300000,Rejected,35000000,Low Middle Class,Gold,Very Poor,Long Term
128,2,Not Graduate,Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,Rejected,7100000,Low Class,Bronze,Very Poor,Long Term
129,3,Graduate,No,400000,1200000,12,861,200000,600000,1100000,200000,Approved,2500000,Low Class,Bronze,Excellent,Long Term
130,0,Not Graduate,Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Approved,83800000,High Class,Gold,Poor,Long Term
131,5,Graduate,No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Rejected,48400000,High Middle Class,Gold,Very Poor,Long Term
132,3,Not Graduate,Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,Rejected,10900000,Low Class,Bronze,Very Poor,Long Term
133,4,Not Graduate,Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Rejected,62900000,High Class,Silver,Very Poor,Long Term
134,3,Not Graduate,No,1500000,5500000,16,717,2100000,800000,4400000,1300000,Approved,10100000,Low Class,Silver,Good,Long Term
135,3,Graduate,No,1600000,5500000,12,425,600000,800000,5400000,900000,Rejected,9300000,Low Class,Silver,Very Poor,Long Term
136,2,Not Graduate,No,4600000,16700000,2,786,200000,5900000,13900000,6100000,Approved,30700000,Low Middle Class,Gold,Excellent,Short Term
137,5,Not Graduate,Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Rejected,17600000,Low Middle Class,Silver,Very Poor,Intermedate Term
138,3,Not Graduate,Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Approved,16300000,Low Middle Class,Silver,Poor,Long Term
139,0,Graduate,No,200000,700000,8,501,500000,200000,700000,100000,Rejected,1700000,Low Class,Bronze,Poor,Long Term
140,2,Not Graduate,Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Approved,26000000,Low Middle Class,Silver,Good,Long Term
141,4,Not Graduate,No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Approved,21400000,Low Middle Class,Silver,Excellent,Intermedate Term
142,0,Graduate,Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Approved,31000000,Low Middle Class,Gold,Excellent,Long Term
143,4,Not Graduate,No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Rejected,52300000,High Middle Class,Gold,Poor,Long Term
144,2,Graduate,Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Approved,69000000,High Class,Platinum,Excellent,Intermedate Term
145,5,Not Graduate,No,600000,1500000,14,543,300000,900000,2100000,300000,Rejected,4200000,Low Class,Bronze,Poor,Long Term
146,3,Graduate,Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,Approved,11400000,Low Class,Bronze,Good,Long Term
147,3,Graduate,No,4000000,11100000,12,572,9700000,100000,12500000,2400000,Approved,28700000,Low Middle Class,Silver,Poor,Long Term
148,0,Not Graduate,Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,Approved,42700000,High Middle Class,Silver,Good,Long Term
149,5,Graduate,No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,Rejected,16400000,Low Middle Class,Silver,Very Poor,Long Term
150,1,Not Graduate,Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,Rejected,52000000,High Middle Class,Gold,Very Poor,Long Term
151,5,Graduate,Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,Approved,56800000,High Middle Class,Platinum,Good,Intermedate Term
152,1,Graduate,Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Approved,45600000,High Middle Class,Gold,Very Poor,Short Term
153,2,Not Graduate,No,1300000,4500000,6,415,0,900000,2900000,1200000,Rejected,6300000,Low Class,Bronze,Very Poor,Intermedate Term
154,3,Not Graduate,No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,Rejected,72900000,High Class,Platinum,Poor,Long Term
155,5,Not Graduate,No,5000000,11200000,8,701,9100000,500000,14000000,4600000,Approved,33200000,Low Middle Class,Silver,Good,Long Term
156,2,Graduate,No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,Approved,22500000,Low Middle Class,Silver,Excellent,Long Term
157,5,Not Graduate,Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,Rejected,70000000,High Class,Platinum,Very Poor,Intermedate Term
158,5,Graduate,Yes,700000,1300000,20,704,1600000,0,2200000,600000,Approved,5100000,Low Class,Bronze,Good,Long Term
159,3,Graduate,Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,Rejected,23500000,Low Middle Class,Silver,Very Poor,Long Term
160,5,Not Graduate,No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,Approved,25300000,Low Middle Class,Silver,Good,Short Term
161,4,Not Graduate,No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,Approved,33500000,Low Middle Class,Gold,Good,Intermedate Term
162,3,Not Graduate,No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,Rejected,78500000,High Class,Gold,Poor,Long Term
163,2,Not Graduate,Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,Approved,15500000,Low Middle Class,Silver,Good,Long Term
164,2,Graduate,Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,Approved,77300000,High Class,Gold,Good,Long Term
165,0,Not Graduate,No,5700000,15900000,16,638,100000,9500000,16300000,4500000,Approved,36100000,Low Middle Class,Gold,Fair,Long Term
166,4,Not Graduate,No,5800000,12800000,2,656,500000,5000000,16000000,2800000,Approved,30100000,Low Middle Class,Silver,Fair,Short Term
167,1,Graduate,No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,Rejected,13600000,Low Middle Class,Silver,Poor,Intermedate Term
168,4,Not Graduate,Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,Rejected,41700000,High Middle Class,Platinum,Very Poor,Intermedate Term
169,0,Not Graduate,Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,Approved,45500000,High Middle Class,Gold,Very Poor,Short Term
170,3,Not Graduate,Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,Approved,25500000,Low Middle Class,Silver,Excellent,Long Term
171,0,Not Graduate,No,1900000,4100000,18,801,400000,800000,4800000,1200000,Approved,9100000,Low Class,Bronze,Excellent,Long Term
172,3,Not Graduate,Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,Approved,26000000,Low Middle Class,Silver,Good,Long Term
173,2,Not Graduate,Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,Rejected,56900000,High Middle Class,Platinum,Very Poor,Long Term
174,4,Not Graduate,Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000,Rejected,52800000,High Middle Class,Silver,Very Poor,Long Term
175,2,Graduate,No,1800000,5300000,6,826,4500000,700000,6500000,1300000,Approved,14800000,Low Middle Class,Silver,Excellent,Intermedate Term
176,4,Not Graduate,No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,Approved,60700000,High Class,Platinum,Excellent,Long Term
177,5,Not Graduate,Yes,2400000,8600000,8,309,500000,600000,5700000,2800000,Rejected,12000000,Low Middle Class,Silver,Very Poor,Long Term
178,4,Not Graduate,No,5600000,13300000,20,869,3300000,7500000,20000000,6500000,Approved,42900000,High Middle Class,Silver,Excellent,Long Term
179,5,Graduate,No,3800000,13900000,12,534,4700000,2900000,8200000,2800000,Rejected,22400000,Low Middle Class,Silver,Poor,Long Term
180,3,Not Graduate,Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000,Approved,36400000,Low Middle Class,Gold,Excellent,Intermedate Term
181,0,Graduate,Yes,900000,2200000,16,566,100000,700000,2000000,600000,Approved,4300000,Low Class,Bronze,Poor,Long Term
182,0,Not Graduate,No,2800000,9900000,8,742,4900000,1300000,6700000,1700000,Approved,17400000,Low Middle Class,Silver,Good,Long Term
183,2,Not Graduate,No,7500000,23100000,4,824,12100000,10900000,26300000,9500000,Approved,66300000,High Class,Gold,Excellent,Intermedate Term
184,4,Graduate,No,1400000,3100000,14,575,3000000,2100000,4900000,1400000,Approved,12800000,Low Middle Class,Bronze,Poor,Long Term
185,2,Graduate,Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000,Approved,21200000,Low Middle Class,Silver,Good,Long Term
186,1,Not Graduate,Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000,Approved,11800000,Low Middle Class,Silver,Excellent,Long Term
187,3,Graduate,Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000,Approved,72900000,High Class,Platinum,Fair,Intermedate Term
188,5,Not Graduate,Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000,Approved,62900000,High Class,Gold,Fair,Intermedate Term
189,1,Not Graduate,No,7400000,19800000,18,458,12600000,6200000,27700000,4000000,Rejected,57900000,High Middle Class,Gold,Very Poor,Long Term
190,1,Not Graduate,No,9000000,28200000,16,327,1700000,2300000,24000000,11200000,Rejected,48200000,High Middle Class,Platinum,Very Poor,Long Term
191,0,Not Graduate,No,3000000,6500000,2,612,8800000,3400000,6700000,1700000,Approved,23600000,Low Middle Class,Silver,Fair,Short Term
192,1,Graduate,No,800000,2900000,8,682,2200000,1100000,2900000,700000,Approved,7700000,Low Class,Bronze,Good,Long Term
193,2,Graduate,No,4800000,13200000,2,583,13700000,5800000,9500000,5200000,Approved,39000000,High Middle Class,Silver,Poor,Short Term
194,5,Not Graduate,No,6400000,18300000,8,697,10000000,3600000,22500000,3600000,Approved,46100000,High Middle Class,Gold,Good,Long Term
195,3,Graduate,No,9200000,27100000,12,306,5800000,11500000,28000000,9600000,Rejected,64100000,High Class,Platinum,Very Poor,Long Term
196,4,Not Graduate,Yes,400000,1500000,2,669,-100000,600000,900000,500000,Approved,2300000,Low Class,Bronze,Good,Short Term
197,2,Not Graduate,No,2800000,6000000,18,816,6300000,4200000,8000000,3400000,Approved,24700000,Low Middle Class,Silver,Excellent,Long Term
